"title","Year"
"Avatar",2009
"John Carter",2012
"Avengers: Age of Ultron",2015
"Superman Returns",2006
"Man of Steel",2013
"The Avengers",2012
"Men in Black 3",2012
"Captain America: Civil War",2016
"Battleship",2012
"Jurassic World",2015
"Iron Man 3",2013
"X-Men: The Last Stand",2006
"Transformers: Revenge of the Fallen",2009
"Transformers: Age of Extinction",2014
"TRON: Legacy",2010
"Green Lantern",2011
"Terminator Salvation",2009
"World War Z",2013
"X-Men: Days of Future Past",2014
"Star Trek Into Darkness",2013
"Pacific Rim",2013
"Transformers: Dark of the Moon",2011
"Star Trek Beyond",2016
"2012",2009
"Jupiter Ascending",2015
"X-Men: Apocalypse",2016
"Monsters vs Aliens",2009
"Iron Man",2008
"Wild Wild West",1999
"Suicide Squad",2016
"Edge of Tomorrow",2014
"G.I. Joe: The Rise of Cobra",2009
"Iron Man 2",2010
"Dawn of the Planet of the Apes",2014
"The Lovers",2015
"Captain America: The Winter Soldier",2014
"Tomorrowland",2015
"Independence Day: Resurgence",2016
"Terminator 3: Rise of the Machines",2003
"Guardians of the Galaxy",2014
"Interstellar",2014
"Inception",2010
"Shin Godzilla",2016
"X-Men: First Class",2011
"The Hunger Games: Mockingjay - Part 2",2015
"Terminator Genisys",2015
"Transformers",2007
"I Am Legend",2007
"X-Men Origins: Wolverine",2009
"The Matrix Revolutions",2003
"The Matrix Reloaded",2003
"Mad Max: Fury Road",2015
"Armageddon",1998
"Men in Black II",2002
"Star Trek",2009
"Watchmen",2009
"Hulk",2003
"G.I. Joe: Retaliation",2013
"Final Fantasy: The Spirits Within",2001
"Captain America: The First Avenger",2011
"The Incredible Hulk",2008
"Ant-Man",2015
"The Hunger Games: Catching Fire",2013
"Home",2015
"War of the Worlds",2005
"After Earth",2013
"Megamind",2010
"The Hunger Games: Mockingjay - Part 1",2014
"X2",2003
"Total Recall",1990
"The Day After Tomorrow",2004
"Prometheus",2012
"Elysium",2013
"The Chronicles of Riddick",2004
"RoboCop",2014
"Speed Racer",2008
"Oblivion",2013
"Star Wars: Episode III - Revenge of the Sith",2005
"Star Wars: Episode II - Attack of the Clones",2002
"The Wolverine",2013
"Star Wars: Episode I - The Phantom Menace",1999
"Teenage Mutant Ninja Turtles",2014
"Gravity",2013
"Fantastic Four",2015
"Insurgent",2015
"Allegiant",2016
"Real Steel",2011
"Ender's Game",2013
"I, Robot",2004
"The Martian",2015
"The Island",2005
"Minority Report",2002
"Planet of the Apes",2001
"Terminator 2: Judgment Day",1991
"Starship Troopers",1997
"Cloud Atlas",2012
"Treasure Planet",2002
"Land of the Lost",2009
"The Adventures of Pluto Nash",2002
"The Stepford Wives",2004
"The Fifth Element",1997
"Transcendence",2014
"Jurassic Park III",2001
"Rise of the Planet of the Apes",2011
"Men in Black",1997
"Atlantis: The Lost Empire",2001
"Pixels",2015
"A.I. Artificial Intelligence",2001
"Contact",1997
"Hollow Man",2000
"The Saint",1997
"Mission to Mars",2000
"Bicentennial Man",1999
"Volcano",1997
"Divergent",2014
"Mirror Mirror",2012
"The Core",2003
"Nutty Professor II: The Klumps",2000
"Dredd",2012
"Jumper",2008
"Hellboy II: The Golden Army",2008
"The 6th Day",2000
"The Hunger Games",2012
"Robots",2005
"Face/Off",1997
"The Book of Eli",2010
"Flubber",1997
"The Day the Earth Stood Still",2008
"Lost in Space",1998
"The Time Machine",2002
"Mars Attacks!",1996
"Surrogates",2009
"Battlefield Earth",2000
"Timeline",2003
"Red Planet",2000
"A Sound of Thunder",2005
"Journey 2: The Mysterious Island",2012
"The Invasion",2007
"The League of Extraordinary Gentlemen",2003
"Independence Day",1996
"The Lost World: Jurassic Park",1997
"Children of Men",2006
"X-Men",2000
"Titan A.E.",2000
"Soldier",1998
"Carriers",2009
"Unbreakable",2000
"Sphere",1998
"Signs",2002
"Vanilla Sky",2001
"AVP: Alien vs. Predator",2004
"Star Trek: Insurrection",1998
"Battle: Los Angeles",2011
"The Abyss",1989
"Rollerball",2002
"Sky Captain and the World of Tomorrow",2004
"Mystery Men",1999
"The X Files",1998
"Dreamcatcher",2003
"The Matrix",1999
"Blade: Trinity",2004
"Resident Evil: Retribution",2012
"Death Race",2008
"Zathura: A Space Adventure",2005
"Austin Powers in Goldmember",2002
"Astro Boy",2009
"Jurassic Park",1993
"Deep Blue Sea",1999
"Contagion",2011
"The Happening",2008
"Hellboy",2004
"Paycheck",2003
"The Tuxedo",2002
"Alien: Resurrection",1997
"My Favorite Martian",1999
"Planet 51",2009
"Star Trek: Nemesis",2002
"Priest",2011
"Event Horizon",1997
"Supernova",2000
"Meet Dave",2008
"The Spirit",2008
"The Flintstones in Viva Rock Vegas",2000
"Resident Evil: Afterlife",2010
"Superman",1978
"The Nutty Professor",1996
"Alien³",1992
"Chain Reaction",1996
"Æon Flux",2005
"Thunderbirds",2004
"Superman II",1980
"The Adjustment Bureau",2011
"Super 8",2011
"Congo",1995
"Knowing",2009
"Outbreak",1995
"Race to Witch Mountain",2009
"I Am Number Four",2011
"Resident Evil: Apocalypse",2004
"The Adventures of Sharkboy and Lavagirl",2005
"The Host",2013
"Escape from L.A.",1996
"The Iron Giant",1999
"Gamer",2009
"What Planet Are You From?",2000
"Street Fighter: The Legend of Chun-Li",2009
"The One",2001
"Chappie",2015
"K-PAX",2001
"Kate & Leopold",2001
"Solaris",1972
"Happily N'Ever After",2006
"Star Trek: First Contact",1996
"Journey to the Center of the Earth",2008
"Galaxy Quest",1999
"The Hitchhiker's Guide to the Galaxy",2005
"Resident Evil: Extinction",2007
"Dune",1984
"Babylon A.D.",2008
"Multiplicity",1996
"Aliens in the Attic",2009
"Deep Rising",1998
"Underworld: Evolution",2006
"Victor Frankenstein",2015
"Back to the Future Part II",1989
"Lucy",2014
"Spy Kids 3-D: Game Over",2003
"Back to the Future Part III",1990
"Small Soldiers",1998
"Spawn",1997
"Escape from Planet Earth",2013
"Predators",2010
"Aliens vs Predator: Requiem",2007
"Paul",2011
"The Shadow",1994
"The Island of Dr. Moreau",1996
"Memoirs of an Invisible Man",1992
"Universal Soldier: The Return",1999
"Pandorum",2009
"Impostor",2001
"Just Visiting",2001
"Sunshine",2007
"Delgo",2008
"Snowpiercer",2013
"Serenity",2005
"Superman III",1983
"Star Trek: Generations",1994
"The Thing",1982
"Riddick",2013
"The 5th Wave",2016
"The Inhabited Island",2008
"Hot Tub Time Machine",2010
"Gattaca",1997
"Austin Powers: The Spy Who Shagged Me",1999
"Star Trek: The Motion Picture",1979
"Species",1995
"The Cell",2000
"Underworld: Rise of the Lycans",2009
"Resident Evil",2002
"In Time",2011
"Predator 2",1990
"Flash Gordon",1980
"The X Files: I Want to Believe",2008
"Superhero Movie",2008
"The Maze Runner",2014
"The Fountain",2006
"The Astronaut's Wife",1999
"The Darkest Hour",2011
"Return of the Jedi",1983
"Doomsday",2008
"Phenomenon",1996
"Source Code",2011
"Repo Men",2010
"Dragon Wars: D-War",2007
"Moonraker",1979
"Frequency",2000
"District 9",2009
"Looper",2012
"Down to Earth",2001
"Star Trek V: The Final Frontier",1989
"The Running Man",1987
"Mortal Kombat: Annihilation",1997
"9",2009
"Virtuosity",1995
"My Super Ex-Girlfriend",2006
"Ultraviolet",2006
"Splice",2009
"Howard the Duck",1986
"Wing Commander",1999
"Dragonball Evolution",2009
"Godsend",2004
"Space Pirate Captain Harlock",2013
"Timecop",1994
"Blade Runner",1982
"Ghosts of Mars",2001
"Star Trek VI: The Undiscovered Country",1991
"Lake Placid",1999
"Dark City",1998
"Flatliners",1990
"Clockstoppers",2002
