release_date;title;Year;Month;Day
2009-12-10;Avatar                                                        ; 2009; 12; 10
2012-03-07;John Carter                                                   ; 2012; 3; 7
2015-04-22;Avengers: Age of Ultron                                       ; 2015; 4; 22
2006-06-28;Superman Returns                                              ; 2006; 6; 28
2013-06-12;Man of Steel                                                  ; 2013; 6; 12
2012-04-25;The Avengers                                                  ; 2012; 4; 25
2012-05-23;Men in Black 3                                                ; 2012; 5; 23
2016-04-27;Captain America: Civil War                                    ; 2016; 4; 27
2012-04-11;Battleship                                                    ; 2012; 4; 11
2015-06-09;Jurassic World                                                ; 2015; 6; 9
2013-04-18;Iron Man 3                                                    ; 2013; 4; 18
2006-05-24;X-Men: The Last Stand                                         ; 2006; 5; 24
2009-06-19;Transformers: Revenge of the Fallen                           ; 2009; 6; 19
2014-06-25;Transformers: Age of Extinction                               ; 2014; 6; 25
2010-12-10;TRON: Legacy                                                  ; 2010; 12; 10
2011-06-16;Green Lantern                                                 ; 2011; 6; 16
2009-05-20;Terminator Salvation                                          ; 2009; 5; 20
2013-06-20;World War Z                                                   ; 2013; 6; 20
2014-05-15;X-Men: Days of Future Past                                    ; 2014; 5; 15
2013-05-05;Star Trek Into Darkness                                       ; 2013; 5; 5
2013-07-11;Pacific Rim                                                   ; 2013; 7; 11
2011-06-28;Transformers: Dark of the Moon                                ; 2011; 6; 28
2016-07-07;Star Trek Beyond                                              ; 2016; 7; 7
2009-10-10;2012                                                          ; 2009; 10; 10
2015-02-04;Jupiter Ascending                                             ; 2015; 2; 4
2016-05-18;X-Men: Apocalypse                                             ; 2016; 5; 18
2009-03-19;Monsters vs Aliens                                            ; 2009; 3; 19
2008-04-30;Iron Man                                                      ; 2008; 4; 30
1999-06-29;Wild Wild West                                                ; 1999; 6; 29
2016-08-02;Suicide Squad                                                 ; 2016; 8; 2
2014-05-27;Edge of Tomorrow                                              ; 2014; 5; 27
2009-08-04;G.I. Joe: The Rise of Cobra                                   ; 2009; 8; 4
2010-04-28;Iron Man 2                                                    ; 2010; 4; 28
2014-06-26;Dawn of the Planet of the Apes                                ; 2014; 6; 26
2015-02-13;The Lovers                                                    ; 2015; 2; 13
2014-03-20;Captain America: The Winter Soldier                           ; 2014; 3; 20
2015-05-19;Tomorrowland                                                  ; 2015; 5; 19
2016-06-22;Independence Day: Resurgence                                  ; 2016; 6; 22
2003-07-02;Terminator 3: Rise of the Machines                            ; 2003; 7; 2
2014-07-30;Guardians of the Galaxy                                       ; 2014; 7; 30
2014-11-05;Interstellar                                                  ; 2014; 11; 5
2010-07-14;Inception                                                     ; 2010; 7; 14
2016-07-29;Shin Godzilla                                                 ; 2016; 7; 29
2011-05-24;X-Men: First Class                                            ; 2011; 5; 24
2015-11-18;The Hunger Games: Mockingjay - Part 2                         ; 2015; 11; 18
2015-06-23;Terminator Genisys                                            ; 2015; 6; 23
2007-06-27;Transformers                                                  ; 2007; 6; 27
2007-12-14;I Am Legend                                                   ; 2007; 12; 14
2009-04-28;X-Men Origins: Wolverine                                      ; 2009; 4; 28
2003-11-05;The Matrix Revolutions                                        ; 2003; 11; 5
2003-05-15;The Matrix Reloaded                                           ; 2003; 5; 15
2015-05-13;Mad Max: Fury Road                                            ; 2015; 5; 13
1998-07-01;Armageddon                                                    ; 1998; 7; 1
2002-07-03;Men in Black II                                               ; 2002; 7; 3
2009-05-06;Star Trek                                                     ; 2009; 5; 6
2009-03-05;Watchmen                                                      ; 2009; 3; 5
2003-06-19;Hulk                                                          ; 2003; 6; 19
2013-03-26;G.I. Joe: Retaliation                                         ; 2013; 3; 26
2001-07-02;Final Fantasy: The Spirits Within                             ; 2001; 7; 2
2011-07-22;Captain America: The First Avenger                            ; 2011; 7; 22
2008-06-12;The Incredible Hulk                                           ; 2008; 6; 12
2015-07-14;Ant-Man                                                       ; 2015; 7; 14
2013-11-15;The Hunger Games: Catching Fire                               ; 2013; 11; 15
2015-03-18;Home                                                          ; 2015; 3; 18
2005-06-28;War of the Worlds                                             ; 2005; 6; 28
2013-05-30;After Earth                                                   ; 2013; 5; 30
2010-10-28;Megamind                                                      ; 2010; 10; 28
2014-11-18;The Hunger Games: Mockingjay - Part 1                         ; 2014; 11; 18
2003-04-24;X2                                                            ; 2003; 4; 24
1990-06-01;Total Recall                                                  ; 1990; 6; 1
2004-05-26;The Day After Tomorrow                                        ; 2004; 5; 26
2012-05-30;Prometheus                                                    ; 2012; 5; 30
2013-08-07;Elysium                                                       ; 2013; 8; 7
2004-06-11;The Chronicles of Riddick                                     ; 2004; 6; 11
2014-01-30;RoboCop                                                       ; 2014; 1; 30
2008-05-09;Speed Racer                                                   ; 2008; 5; 9
2013-04-10;Oblivion                                                      ; 2013; 4; 10
2005-05-17;Star Wars: Episode III - Revenge of the Sith                  ; 2005; 5; 17
2002-05-15;Star Wars: Episode II - Attack of the Clones                  ; 2002; 5; 15
2013-07-23;The Wolverine                                                 ; 2013; 7; 23
1999-05-19;Star Wars: Episode I - The Phantom Menace                     ; 1999; 5; 19
2014-08-07;Teenage Mutant Ninja Turtles                                  ; 2014; 8; 7
2013-09-27;Gravity                                                       ; 2013; 9; 27
2015-08-05;Fantastic Four                                                ; 2015; 8; 5
2015-03-18;Insurgent                                                     ; 2015; 3; 18
2016-03-09;Allegiant                                                     ; 2016; 3; 9
2011-09-28;Real Steel                                                    ; 2011; 9; 28
2013-10-23;Ender's Game                                                  ; 2013; 10; 23
2004-07-15;I, Robot                                                      ; 2004; 7; 15
2015-09-30;The Martian                                                   ; 2015; 9; 30
2005-07-20;The Island                                                    ; 2005; 7; 20
2002-06-20;Minority Report                                               ; 2002; 6; 20
