"unique.id";"datetime";"country";"Year";"WeekDay";"Hour"
1;1966-10-10 20:00:00;"USA";"1966";"Seg";"20"
2;1966-10-10 21:00:00;"USA";"1966";"Seg";"21"
3;1968-10-10 13:00:00;"USA";"1968";"Qui";"13"
4;1968-10-10 19:00:00;"USA";"1968";"Qui";"19"
5;1970-10-10 16:00:00;"USA";"1970";"Sáb";"16"
6;1970-10-10 19:00:00;"USA";"1970";"Sáb";"19"
7;1971-10-10 21:00:00;"USA";"1971";"Dom";"21"
8;1972-10-10 19:00:00;"USA";"1972";"Ter";"19"
9;1972-10-10 22:30:00;"USA";"1972";"Ter";"22"
10;1973-10-10 19:00:00;"USA";"1973";"Qua";"19"
11;1974-10-10 19:30:00;"USA";"1974";"Qui";"19"
12;1974-10-10 21:30:00;"GBR";"1974";"Qui";"21"
13;1974-10-10 23:00:00;"USA";"1974";"Qui";"23"
14;1975-10-10 17:00:00;"USA";"1975";"Sex";"17"
15;1976-10-10 20:30:00;"USA";"1976";"Dom";"20"
16;1976-10-10 22:00:00;"GBR";"1976";"Dom";"22"
17;1977-10-10 12:00:00;"USA";"1977";"Seg";"12"
18;1977-10-10 22:00:00;"USA";"1977";"Seg";"22"
19;1978-10-10 02:00:00;"USA";"1978";"Ter";"02"
20;1979-10-10 00:00:00;"USA";"1979";"Qua";"00"
21;1979-10-10 22:00:00;"CAN";"1979";"Qua";"22"
22;1979-10-10 22:00:00;"USA";"1979";"Qua";"22"
23;1979-10-10 22:00:00;"USA";"1979";"Qua";"22"
24;1980-10-10 19:00:00;"USA";"1980";"Sex";"19"
25;1980-10-10 22:00:00;"USA";"1980";"Sex";"22"
26;1980-10-10 23:30:00;"USA";"1980";"Sex";"23"
27;1982-10-10 07:00:00;"NZL";"1982";"Dom";"07"
28;1984-10-10 05:00:00;"USA";"1984";"Qua";"05"
29;1984-10-10 12:00:00;"USA";"1984";"Qua";"12"
30;1984-10-10 22:00:00;"USA";"1984";"Qua";"22"
31;1985-10-10 20:25:00;"GBR";"1985";"Qui";"20"
32;1987-10-10 20:00:00;"CAN";"1987";"Sáb";"20"
33;1988-10-10 18:00:00;"USA";"1988";"Seg";"18"
34;1988-10-10 21:00:00;"USA";"1988";"Seg";"21"
35;1988-10-10 22:00:00;"USA";"1988";"Seg";"22"
36;1988-10-10 22:45:00;"USA";"1988";"Seg";"22"
37;1989-10-10 00:00:00;"USA";"1989";"Ter";"00"
38;1989-10-10 21:00:00;"USA";"1989";"Ter";"21"
39;1990-10-10 20:00:00;"CAN";"1990";"Qua";"20"
40;1990-10-10 21:00:00;"USA";"1990";"Qua";"21"
41;1991-10-10 22:00:00;"USA";"1991";"Qui";"22"
42;1991-10-10 22:00:00;"USA";"1991";"Qui";"22"
43;1992-10-10 17:00:00;"USA";"1992";"Sáb";"17"
44;1992-10-10 18:00:00;"USA";"1992";"Sáb";"18"
45;1992-10-10 20:15:00;"USA";"1992";"Sáb";"20"
46;1992-10-10 22:00:00;"USA";"1992";"Sáb";"22"
47;1993-10-10 03:00:00;"RUS";"1993";"Dom";"03"
48;1993-10-10 22:00:00;"USA";"1993";"Dom";"22"
49;1993-10-10 23:00:00;"USA";"1993";"Dom";"23"
50;1994-10-10 18:30:00;"USA";"1994";"Seg";"18"
51;1994-10-10 22:00:00;"USA";"1994";"Seg";"22"
52;1994-10-10 23:00:00;"CAN";"1994";"Seg";"23"
53;1995-10-10 17:05:00;"PRI";"1995";"Ter";"17"
54;1995-10-10 19:45:00;"USA";"1995";"Ter";"19"
55;1995-10-10 22:40:00;"USA";"1995";"Ter";"22"
56;1996-10-10 03:20:00;"USA";"1996";"Qui";"03"
57;1996-10-10 20:00:00;"AUS";"1996";"Qui";"20"
58;1996-10-10 22:00:00;"USA";"1996";"Qui";"22"
59;1996-10-10 22:30:00;"USA";"1996";"Qui";"22"
60;1997-10-10 16:00:00;"USA";"1997";"Sex";"16"
61;1997-10-10 17:00:00;"USA";"1997";"Sex";"17"
62;1997-10-10 20:00:00;"USA";"1997";"Sex";"20"
63;1997-10-10 21:00:00;"USA";"1997";"Sex";"21"
