"year","country","sightings","gdp","unemployment","internet","scifi"
1960,"AFG",0,537777811.111,0,0,0
1961,"AFG",0,548888895.556,0,0,0
1962,"AFG",0,546666677.778,0,0,0
1963,"AFG",0,751111191.111,0,0,0
1964,"AFG",0,800000044.444,0,0,0
1965,"AFG",0,1006666637.78,0,0,0
1966,"AFG",0,1399999966.67,0,0,0
1967,"AFG",0,1673333417.78,0,0,0
1968,"AFG",0,1373333366.67,0,0,0
1969,"AFG",0,1408888922.22,0,0,0
1970,"AFG",0,1748886595.56,0,0,0
1971,"AFG",0,1831108971.11,0,0,0
1972,"AFG",0,1595555475.56,0,0,0
1973,"AFG",0,1733333264.44,0,0,0
1974,"AFG",0,2155555497.78,0,0,0
1975,"AFG",0,2366666615.56,0,0,0
1976,"AFG",0,2555555566.67,0,0,0
1977,"AFG",0,2953333417.78,0,0,0
1978,"AFG",0,3300000108.89,0,0,0
1979,"AFG",0,3697940409.61,0,0,0
1980,"AFG",0,3641723322.0,0,0,0
1981,"AFG",0,3478787909.09,0,0,0
1982,"AFG",0,0.0,0,0,0
1983,"AFG",0,0.0,0,0,0
1984,"AFG",0,0.0,0,0,0
1985,"AFG",0,0.0,0,0,0
1986,"AFG",0,0.0,0,0,0
1987,"AFG",0,0.0,0,0,0
1988,"AFG",0,0.0,0,0,0
1989,"AFG",0,0.0,0,0,0
1990,"AFG",0,0.0,0,0.0,0
1991,"AFG",0,0.0,1.20700001717,0.0,0
1992,"AFG",0,0.0,1.06200003624,0.0,0
1993,"AFG",0,0.0,1.38800001144,0.0,0
1994,"AFG",0,0.0,1.35099995136,0.0,0
1995,"AFG",0,0.0,0.601999998093,0.0,0
1996,"AFG",0,0.0,1.13800001144,0.0,0
1997,"AFG",0,0.0,1.13699996471,0.0,0
1998,"AFG",0,0.0,1.13199996948,0.0,0
1999,"AFG",0,0.0,1.13800001144,0.0,0
2000,"AFG",1,0.0,1.12999999523,0.0,0
2001,"AFG",0,2461665937.89,1.14499998093,0.004722568,0
2002,"AFG",0,4128820723.05,0.49200001359,0.004561395,0
2003,"AFG",1,4583644246.48,8.44099998474,0.087891253,0
2004,"AFG",1,5285465685.86,8.47900009155,0.10580903,0
2005,"AFG",1,6275073571.55,8.5,1.224148084,0
2006,"AFG",0,7057598406.62,8.41800022125,2.107123645,0
2007,"AFG",0,9843842455.48,8.34200000763,1.9,0
2008,"AFG",1,10190529882.5,8.27799987793,1.84,0
2009,"AFG",1,12486943505.7,8.23799991608,3.55,0
2010,"AFG",2,15936800636.2,8.22799968719,4.0,0
2011,"AFG",0,17930239399.8,8.19999980927,5.0,0
2012,"AFG",2,20536542736.7,8.18000030518,5.454545455,0
2013,"AFG",0,20046334304.0,8.35700035095,5.9,0
2014,"AFG",0,20050189881.7,8.44900035858,7.0,0
1960,"ALB",0,0,0,0,0
1961,"ALB",0,0,0,0,0
1962,"ALB",0,0,0,0,0
1963,"ALB",0,0,0,0,0
1964,"ALB",0,0,0,0,0
1965,"ALB",0,0,0,0,0
1966,"ALB",0,0,0,0,0
1967,"ALB",0,0,0,0,0
1968,"ALB",0,0,0,0,0
1969,"ALB",0,0,0,0,0
1970,"ALB",0,0,0,0,0
1971,"ALB",0,0,0,0,0
1972,"ALB",0,0,0,0,0
1973,"ALB",0,0,0,0,0
1974,"ALB",0,0,0,0,0
1975,"ALB",0,0,0,0,0
1976,"ALB",0,0,0,0,0
1977,"ALB",0,0,0,0,0
1978,"ALB",0,0,0,0,0
1979,"ALB",0,0,0,0,0
1980,"ALB",0,0,0,0,0
1981,"ALB",0,0,0,0,0
1982,"ALB",0,0,0,0,0
1983,"ALB",0,0,0,0,0
1984,"ALB",0,1924242453.01,0,0,0
1985,"ALB",0,1965384586.24,0,0,0
1986,"ALB",0,2173750012.5,0,0,0
1987,"ALB",0,2156624900.0,0,0,0
1988,"ALB",0,2126000000.0,0,0,0
1989,"ALB",0,2335124987.5,0,0,0
1990,"ALB",0,2101624962.5,0,0.0,0
1991,"ALB",0,1139166645.83,13.2100000381,0.0,0
1992,"ALB",0,709452583.88,14.236000061,0.0,0
1993,"ALB",0,1228071037.84,15.5649995804,0.0,0
1994,"ALB",0,1985673798.1,15.3509998322,0.0,0
1995,"ALB",0,2424499009.14,14.7110004425,0.011168695,0
1996,"ALB",0,3314898291.75,14.404999733,0.032196828,0
1997,"ALB",0,2359903108.38,13.4549999237,0.048593919,0
1998,"ALB",0,2707123772.16,14.2299995422,0.06502737,0
1999,"ALB",0,3414760915.28,14.5360002518,0.081437045,0
2000,"ALB",0,3632043907.98,14.1479997635,0.114097347,0
2001,"ALB",0,4060758804.12,22.6800003052,0.325798377,0
2002,"ALB",0,4435078647.75,14.8459997177,0.390081273,0
2003,"ALB",0,5746945912.58,13.9499998093,0.971900415,0
2004,"ALB",0,7314865175.62,13.9139995575,2.420387798,0
2005,"ALB",0,8158548716.69,13.8319997787,6.043890864,0
2006,"ALB",0,8992642348.79,13.0559997559,9.609991316,0
2007,"ALB",1,10701011896.8,13.5,15.03611541,0
2008,"ALB",1,12881352687.8,13.0,23.86,0
2009,"ALB",0,12044212903.8,13.7600002289,41.2,0
2010,"ALB",0,11926953258.9,14.1999998093,45.0,0
2011,"ALB",0,12890867538.5,13.9770002365,49.0,0
2012,"ALB",0,12319784787.3,13.4379997253,54.65595904,0
2013,"ALB",1,12781029643.6,15.6400003433,57.2,0
2014,"ALB",0,13219857459.1,17.4899997711,60.1,0
1960,"AND",0,0,0,0,0
1961,"AND",0,0,0,0,0
1962,"AND",0,0,0,0,0
1963,"AND",0,0,0,0,0
1964,"AND",0,0,0,0,0
1965,"AND",0,0,0,0,0
1966,"AND",0,0,0,0,0
