"year","country","value"
1994,"ABW",1330167597.7653599
1995,"ABW",1320670391.06145
1996,"ABW",1379888268.15642
1997,"ABW",1531843575.4189901
1998,"ABW",1665363128.4916198
1999,"ABW",1722798882.68156
2000,"ABW",1873452513.96648
2001,"ABW",1920262569.8324
2002,"ABW",1941094972.0670397
2003,"ABW",2021301675.97765
2004,"ABW",2228279329.6089396
2005,"ABW",2331005586.5921803
2006,"ABW",2421474860.3352
2007,"ABW",2623726256.9832397
2008,"ABW",2791960893.85475
2009,"ABW",2498932960.89385
2010,"ABW",2467703910.61453
2011,"ABW",2584463687.15084
1960,"AFG",537777811.111111
1961,"AFG",548888895.5555559
1962,"AFG",546666677.777778
1963,"AFG",751111191.111111
1964,"AFG",800000044.4444441
1965,"AFG",1006666637.77778
1966,"AFG",1399999966.6666698
1967,"AFG",1673333417.77778
1968,"AFG",1373333366.6666698
1969,"AFG",1408888922.22222
1970,"AFG",1748886595.5555599
1971,"AFG",1831108971.1111102
1972,"AFG",1595555475.5555599
1973,"AFG",1733333264.4444401
1974,"AFG",2155555497.77778
1975,"AFG",2366666615.55556
1976,"AFG",2555555566.66667
1977,"AFG",2953333417.77778
1978,"AFG",3300000108.88889
1979,"AFG",3697940409.6109796
1980,"AFG",3641723321.99546
1981,"AFG",3478787909.09091
1982,"AFG",0
1983,"AFG",0
1984,"AFG",0
1985,"AFG",0
1986,"AFG",0
1987,"AFG",0
1988,"AFG",0
1989,"AFG",0
1990,"AFG",0
1991,"AFG",0
1992,"AFG",0
1993,"AFG",0
1994,"AFG",0
1995,"AFG",0
1996,"AFG",0
1997,"AFG",0
1998,"AFG",0
1999,"AFG",0
2000,"AFG",0
2001,"AFG",2461665937.8938603
2002,"AFG",4128820723.0471296
2003,"AFG",4583644246.48061
2004,"AFG",5285465685.86423
2005,"AFG",6275073571.54659
2006,"AFG",7057598406.61553
2007,"AFG",9843842455.48323
2008,"AFG",10190529882.4878
2009,"AFG",12486943505.7381
2010,"AFG",15936800636.2487
2011,"AFG",17930239399.8149
2012,"AFG",20536542736.7297
2013,"AFG",20046334303.9661
2014,"AFG",20050189881.6659
2015,"AFG",19702986340.5494
2016,"AFG",19469022207.6357
1985,"AGO",6684491978.60963
1986,"AGO",6684491978.60963
1987,"AGO",6684491978.60963
1988,"AGO",6684491978.60963
1989,"AGO",10026737967.9144
1990,"AGO",10026737967.9144
1991,"AGO",12118610904.2251
1992,"AGO",5684291718.77106
1993,"AGO",5278182970.79618
1994,"AGO",4059352153.0536795
1995,"AGO",5039552482.42778
1996,"AGO",7526446605.51712
1997,"AGO",7648377412.83277
