"year","country","value"
1962,"AUS",1
1962,"CAN",4
1962,"DEU",1
1962,"GBR",1
1962,"PRI",1
1962,"USA",60
1966,"CAN",9
1966,"DEU",1
1966,"FRA",2
1966,"GBR",3
1966,"GRC",1
1966,"PER",1
1966,"TZA",1
1966,"USA",178
1966,"VNM",3
1968,"AUS",1
1968,"CAN",5
1968,"DEU",2
1968,"DOM",1
1968,"ESP",1
1968,"GBR",1
1968,"HND",1
1968,"IRL",1
1968,"IRN",1
1968,"MAR",2
1968,"MEX",1
1968,"MLT",1
1968,"PER",1
1968,"SWE",1
1968,"THA",2
1968,"TUR",1
1968,"USA",183
1968,"VNM",5
1970,"AUS",1
1970,"BRA",1
1970,"CAN",12
1970,"DEU",1
1970,"DZA",1
1970,"GBR",6
1970,"HRV",1
1970,"JPN",1
1970,"NOR",1
1970,"PHL",1
1970,"PRI",3
1970,"USA",119
1971,"BHS",1
1971,"BRA",1
1971,"CAN",6
1971,"CHL",1
1971,"COL",1
1971,"DEU",1
1971,"GBR",5
1971,"GUY",1
1971,"SWE",2
1971,"USA",99
1972,"AUS",3
1972,"CAN",10
1972,"GBR",6
1972,"JAM",1
1972,"MEX",1
1972,"NZL",1
1972,"PHL",1
1972,"PRI",1
1972,"TUR",2
1972,"USA",130
1972,"VNM",1
1972,"ZAF",3
1973,"CAN",12
1973,"COL",1
1973,"CUB",1
1973,"CZE",1
1973,"DEU",1
1973,"FIN",1
1973,"GBR",1
1973,"GUM",1
1973,"IND",1
1973,"LBN",1
1973,"NZL",1
1973,"ROU",1
1973,"URY",1
1973,"USA",200
1973,"ZAF",1
1974,"AUS",3
1974,"BOL",1
1974,"BRA",1
1974,"CAN",10
1974,"DEU",1
1974,"ESP",1
1974,"FRA",1
1974,"GBR",7
1974,"HND",2
1974,"NLD",1
1974,"PHL",2
1974,"TUR",1
1974,"USA",232
1975,"AUS",6
1975,"BEL",1
1975,"BOL",1
1975,"BRA",4
1975,"CAN",13
1975,"CRI",1
1975,"DEU",1
1975,"ESP",1
1975,"GBR",5
1975,"IRN",1
1975,"ISR",1
1975,"JPN",2
1975,"KAZ",1
1975,"MEX",1
1975,"NZL",1
1975,"PHL",1
1975,"SWE",1
1975,"USA",262
1975,"VEN",1
1976,"AUS",4
1976,"BRA",1
1976,"CAN",7
1976,"FRA",1
1976,"GBR",10
1976,"JPN",1
1976,"MAR",2
1976,"NLD",1
1976,"NZL",1
1976,"PHL",1
1976,"PRI",1
1976,"PRT",1
1976,"USA",235
1976,"ZAF",1
1977,"ARG",1
1977,"AUS",1
1977,"BLR",1
1977,"BRA",2
1977,"CAN",17
1977,"FIN",1
1977,"GBR",5
1977,"IND",2
1977,"MEX",2
1977,"NZL",2
1977,"PHL",2
1977,"PRI",2
1977,"SWE",2
1977,"USA",221
1978,"AUS",3
1978,"BRA",1
1978,"CAN",13
1978,"DOM",2
1978,"FRA",1
1978,"GBR",13
1978,"IND",3
1978,"ITA",1
1978,"KHM",1
1978,"KOR",1
1978,"MEX",1
1978,"NLD",1
1978,"NZL",2
1978,"PER",1
1978,"PHL",1
1978,"PRI",1
1978,"PRT",1
1978,"SYC",1
1978,"USA",269
1978,"VIR",1
1979,"AUS",1
1979,"BEL",1
1979,"BRA",1
1979,"CAN",11
1979,"COL",1
1979,"DEU",2
1979,"EGY",1
1979,"GBR",10
1979,"GRC",1
1979,"IRL",1
