"year","country","value"
2000,"AFG",1
2001,"AFG",0
2002,"AFG",0
2003,"AFG",1
2004,"AFG",1
2005,"AFG",1
2006,"AFG",0
2007,"AFG",0
2008,"AFG",1
2009,"AFG",1
2010,"AFG",2
2011,"AFG",0
2012,"AFG",2
2007,"ALB",1
2008,"ALB",1
2009,"ALB",0
2010,"ALB",0
2011,"ALB",0
2012,"ALB",0
2013,"ALB",1
2004,"AND",1
1984,"ARE",1
1985,"ARE",0
1986,"ARE",0
1987,"ARE",0
1988,"ARE",0
1989,"ARE",0
1990,"ARE",0
1991,"ARE",0
1992,"ARE",0
1993,"ARE",0
1994,"ARE",0
1995,"ARE",0
1996,"ARE",0
1997,"ARE",0
1998,"ARE",0
1999,"ARE",0
2000,"ARE",0
2001,"ARE",1
2002,"ARE",2
2003,"ARE",2
2004,"ARE",2
2005,"ARE",0
2006,"ARE",1
2007,"ARE",0
2008,"ARE",0
2009,"ARE",3
2010,"ARE",4
2011,"ARE",0
2012,"ARE",4
1977,"ARG",1
1978,"ARG",0
1979,"ARG",0
1980,"ARG",1
1981,"ARG",0
1982,"ARG",0
1983,"ARG",1
1984,"ARG",0
1985,"ARG",0
1986,"ARG",0
1987,"ARG",0
1988,"ARG",0
1989,"ARG",0
1990,"ARG",0
1991,"ARG",0
1992,"ARG",0
1993,"ARG",0
1994,"ARG",0
1995,"ARG",0
1996,"ARG",0
1997,"ARG",0
1998,"ARG",0
1999,"ARG",1
2000,"ARG",1
2001,"ARG",0
2002,"ARG",3
2003,"ARG",4
2004,"ARG",4
2005,"ARG",1
2006,"ARG",0
2007,"ARG",2
2008,"ARG",1
2009,"ARG",1
2010,"ARG",0
2011,"ARG",1
2012,"ARG",2
2013,"ARG",3
2008,"ARM",1
2009,"ARM",0
2010,"ARM",0
2011,"ARM",0
2012,"ARM",2
1998,"ATG",1
1999,"ATG",0
2000,"ATG",0
2001,"ATG",0
2002,"ATG",0
2003,"ATG",0
2004,"ATG",0
2005,"ATG",0
2006,"ATG",0
2007,"ATG",0
2008,"ATG",0
2009,"ATG",0
2010,"ATG",1
1962,"AUS",1
1963,"AUS",0
1964,"AUS",0
1965,"AUS",0
1966,"AUS",0
1967,"AUS",0
1968,"AUS",1
1969,"AUS",0
1970,"AUS",1
1971,"AUS",0
1972,"AUS",3
1973,"AUS",0
1974,"AUS",3
1975,"AUS",6
1976,"AUS",4
1977,"AUS",1
1978,"AUS",3
1979,"AUS",1
1980,"AUS",2
1981,"AUS",1
1982,"AUS",2
1983,"AUS",5
1984,"AUS",2
1985,"AUS",1
1986,"AUS",3
1987,"AUS",3
1988,"AUS",4
1989,"AUS",0
1990,"AUS",5
1991,"AUS",2
1992,"AUS",5
1993,"AUS",4
1994,"AUS",3
1995,"AUS",5
1996,"AUS",15
1997,"AUS",10
1998,"AUS",21
1999,"AUS",30
2000,"AUS",29
2001,"AUS",45
2002,"AUS",55
2003,"AUS",61
2004,"AUS",54
2005,"AUS",56
2006,"AUS",48
2007,"AUS",34
2008,"AUS",26
2009,"AUS",18
2010,"AUS",17
2011,"AUS",15
2012,"AUS",27
2013,"AUS",40
2014,"AUS",15
1999,"AUT",1
2000,"AUT",2
2001,"AUT",0
2002,"AUT",0
2003,"AUT",0
2004,"AUT",0
2005,"AUT",1
2006,"AUT",0
2007,"AUT",0
2008,"AUT",1
2009,"AUT",2
2010,"AUT",0
2011,"AUT",0
2012,"AUT",2
2013,"AUT",1
2002,"AZE",1
2003,"AZE",1
2004,"AZE",1
2005,"AZE",0
2006,"AZE",1
2007,"AZE",0
2008,"AZE",1
2009,"AZE",0
2010,"AZE",0
2011,"AZE",1
1975,"BEL",1
1976,"BEL",0
1977,"BEL",0
1978,"BEL",0
1979,"BEL",1
1980,"BEL",0
1981,"BEL",0
1982,"BEL",0
1983,"BEL",0
1984,"BEL",0
1985,"BEL",1
1986,"BEL",0
1987,"BEL",0
1988,"BEL",0
1989,"BEL",0
1990,"BEL",0
1991,"BEL",0
1992,"BEL",0
1993,"BEL",0
1994,"BEL",0
1995,"BEL",1
1996,"BEL",1
1997,"BEL",2
1998,"BEL",2
1999,"BEL",3
2000,"BEL",1
2001,"BEL",4
2002,"BEL",8
2003,"BEL",6
2004,"BEL",4
2005,"BEL",4
2006,"BEL",1
2007,"BEL",2
2008,"BEL",1
2009,"BEL",1
2010,"BEL",0
2011,"BEL",2
2012,"BEL",0
2013,"BEL",2
2014,"BEL",1
2005,"BFA",1
1996,"BGD",1
1997,"BGD",0
1998,"BGD",0
1999,"BGD",0
2000,"BGD",0
2001,"BGD",0
2002,"BGD",0
2003,"BGD",0
2004,"BGD",0
2005,"BGD",5
2006,"BGD",0
2007,"BGD",0
2008,"BGD",0
2009,"BGD",1
2010,"BGD",0
2011,"BGD",2
2012,"BGD",2
1985,"BGR",1
1986,"BGR",0
1987,"BGR",0
1988,"BGR",0
1989,"BGR",0
1990,"BGR",0
1991,"BGR",1
1992,"BGR",0
1993,"BGR",1
1994,"BGR",0
1995,"BGR",0
1996,"BGR",0
1997,"BGR",0
1998,"BGR",0
1999,"BGR",0
2000,"BGR",0
2001,"BGR",0
2002,"BGR",1
2003,"BGR",0
2004,"BGR",1
2005,"BGR",1
2006,"BGR",0
2007,"BGR",0
2008,"BGR",1
2009,"BGR",3
2010,"BGR",3
2011,"BGR",1
2012,"BGR",2
2013,"BGR",1
2014,"BGR",3
2006,"BHR",1
2007,"BHR",0
2008,"BHR",1
2009,"BHR",0
2010,"BHR",0
2011,"BHR",0
2012,"BHR",1
1971,"BHS",1
1972,"BHS",0
1973,"BHS",0
1974,"BHS",0
1975,"BHS",0
1976,"BHS",0
1977,"BHS",0
1978,"BHS",0
1979,"BHS",0
1980,"BHS",0
1981,"BHS",0
1982,"BHS",0
1983,"BHS",0
1984,"BHS",0
1985,"BHS",1
1986,"BHS",0
1987,"BHS",0
1988,"BHS",0
1989,"BHS",0
1990,"BHS",0
1991,"BHS",0
1992,"BHS",0
1993,"BHS",0
1994,"BHS",0
1995,"BHS",1
1996,"BHS",0
1997,"BHS",0
1998,"BHS",2
1999,"BHS",0
2000,"BHS",0
2001,"BHS",0
2002,"BHS",3
2003,"BHS",2
2004,"BHS",0
2005,"BHS",4
2006,"BHS",1
2007,"BHS",1
2008,"BHS",0
2009,"BHS",1
2010,"BHS",0
2011,"BHS",0
2012,"BHS",1
1984,"BIH",1
1985,"BIH",0
1986,"BIH",0
1987,"BIH",0
1988,"BIH",0
1989,"BIH",0
1990,"BIH",0
1991,"BIH",0
1992,"BIH",0
1993,"BIH",1
1994,"BIH",0
1995,"BIH",1
1996,"BIH",0
1997,"BIH",1
1998,"BIH",0
1999,"BIH",1
2000,"BIH",1
2001,"BIH",2
2002,"BIH",5
2003,"BIH",0
2004,"BIH",0
2005,"BIH",1
2006,"BIH",0
2007,"BIH",0
2008,"BIH",0
2009,"BIH",0
2010,"BIH",0
2011,"BIH",1
2012,"BIH",1
2013,"BIH",1
1977,"BLR",1
1978,"BLR",0
1979,"BLR",0
1980,"BLR",0
1981,"BLR",0
1982,"BLR",0
1983,"BLR",0
1984,"BLR",0
1985,"BLR",0
1986,"BLR",0
1987,"BLR",0
1988,"BLR",0
1989,"BLR",0
1990,"BLR",0
1991,"BLR",0
1992,"BLR",0
1993,"BLR",0
1994,"BLR",0
1995,"BLR",0
1996,"BLR",0
1997,"BLR",0
1998,"BLR",0
1999,"BLR",0
2000,"BLR",0
2001,"BLR",0
2002,"BLR",0
2003,"BLR",0
2004,"BLR",0
2005,"BLR",0
2006,"BLR",0
2007,"BLR",0
2008,"BLR",0
2009,"BLR",0
2010,"BLR",0
2011,"BLR",0
2012,"BLR",0
2013,"BLR",1
1990,"BLZ",1
1991,"BLZ",0
1992,"BLZ",0
1993,"BLZ",0
1994,"BLZ",0
1995,"BLZ",0
1996,"BLZ",0
1997,"BLZ",0
1998,"BLZ",0
1999,"BLZ",0
2000,"BLZ",0
2001,"BLZ",0
2002,"BLZ",0
2003,"BLZ",0
2004,"BLZ",2
2005,"BLZ",0
2006,"BLZ",0
