Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Unnamed: 61
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,2.768382663,,,4.5061790980000005,15.44282295,17.1,18.8,20.8,23.0,25.4,28.0,30.9,52.0,58.0,62.0,69.0,74.0,78.9,83.78,88.66122693,93.54245387,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4.0,5.0,5.454545455,5.9,7.0,8.26,10.59572642,
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.000775929,0.0056737459999999995,0.018453723999999998,0.071964087,0.105045562,0.13601386699999998,0.270376746,0.370682065,0.46481461799999996,1.143366827,1.5,1.7,1.9,2.3,2.8,3.1,6.5,8.9,10.2,12.4,13.0,
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.011168695,0.032196828,0.048593919000000006,0.06502737,0.081437045,0.11409734699999999,0.325798377,0.39008127299999995,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45.0,49.0,54.65595904,57.2,60.1,63.2529327,66.3634447,
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.5266010230000002,3.050175385,6.886209217999999,7.635686142999999,10.53883561,,11.26046872,13.54641288,26.83795439,37.60576622,48.936847,70.87,70.04,78.53,81.0,81.0,86.43442462,94.0,95.9,96.91,97.93063712,
Arab World,ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0170250493596283,0.0377606883732282,0.131045576769495,0.261615115235843,0.59858214958073,1.13954112265022,1.5612881697743202,2.6930610133684905,3.6458807826885002,7.00681246096266,8.3931417251246,11.654647915116,14.2059022370414,18.5935311754225,21.5453538966708,24.5357799041128,26.6454640754155,30.274490592614697,32.9846785409226,36.4830135817024,39.8674632904891,42.026887258193796,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.102939175,0.375393534,3.2955926939999998,6.908302986,14.94269899,23.62530088,26.2717542,28.31648531,29.47795341,30.13129617,40.0,52.0,61.0,63.0,64.0,68.0,78.0,84.99999150000001,88.0,90.4,90.5,90.60000732,
Argentina,ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0029928740000000004,0.029527065,0.04370595099999999,0.08627708099999999,0.14195470400000001,0.280339882,0.83076668,3.284481956,7.038683086,9.780807285,10.88212438,11.91369655,16.03668411,17.72058337,20.927202100000002,25.94663294,28.11262348,34.0,45.0,51.0,55.8,59.9,64.7,68.04306411,70.15076431,
Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.009117014,0.052743122999999996,0.09457290199999999,0.111650935,0.128659478,0.970737757,1.300470022,1.631094667,1.960405046,4.575217225,4.899008571,5.252983352,5.631787777,6.021253397000001,6.21,15.3,25.0,32.0,37.5,41.9,54.62280586,59.10237771,62.0,
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
