"year","country","value"
1990,"ABW",0.0
1991,"ABW",0
1992,"ABW",0
1993,"ABW",0
1994,"ABW",0
1995,"ABW",0
1996,"ABW",2.768382663
1997,"ABW",0
1998,"ABW",0
1999,"ABW",4.5061790980000005
2000,"ABW",15.44282295
2001,"ABW",17.1
2002,"ABW",18.8
2003,"ABW",20.8
2004,"ABW",23.0
2005,"ABW",25.4
2006,"ABW",28.0
2007,"ABW",30.9
2008,"ABW",52.0
2009,"ABW",58.0
2010,"ABW",62.0
2011,"ABW",69.0
2012,"ABW",74.0
2013,"ABW",78.9
2014,"ABW",83.78
2015,"ABW",88.66122693
2016,"ABW",93.54245387
1990,"AFG",0.0
1991,"AFG",0
1992,"AFG",0
1993,"AFG",0
1994,"AFG",0
1995,"AFG",0
1996,"AFG",0
1997,"AFG",0
1998,"AFG",0
1999,"AFG",0
2000,"AFG",0
2001,"AFG",0.004722568
2002,"AFG",0.004561395
2003,"AFG",0.087891253
2004,"AFG",0.10580903
2005,"AFG",1.224148084
2006,"AFG",2.107123645
2007,"AFG",1.9
2008,"AFG",1.84
2009,"AFG",3.55
2010,"AFG",4.0
2011,"AFG",5.0
2012,"AFG",5.454545455
2013,"AFG",5.9
2014,"AFG",7.0
2015,"AFG",8.26
2016,"AFG",10.59572642
1990,"AGO",0.0
1991,"AGO",0
1992,"AGO",0
1993,"AGO",0
1994,"AGO",0
1995,"AGO",0
1996,"AGO",0.000775929
1997,"AGO",0.0056737459999999995
1998,"AGO",0.018453723999999998
1999,"AGO",0.071964087
2000,"AGO",0.105045562
2001,"AGO",0.13601386699999998
2002,"AGO",0.270376746
2003,"AGO",0.370682065
2004,"AGO",0.46481461799999996
2005,"AGO",1.143366827
2006,"AGO",1.5
2007,"AGO",1.7
2008,"AGO",1.9
2009,"AGO",2.3
2010,"AGO",2.8
2011,"AGO",3.1
2012,"AGO",6.5
2013,"AGO",8.9
2014,"AGO",10.2
2015,"AGO",12.4
2016,"AGO",13.0
1990,"ALB",0.0
1991,"ALB",0
1992,"ALB",0
1993,"ALB",0
1994,"ALB",0
1995,"ALB",0.011168695
1996,"ALB",0.032196828
1997,"ALB",0.048593919000000006
1998,"ALB",0.06502737
1999,"ALB",0.081437045
2000,"ALB",0.11409734699999999
2001,"ALB",0.325798377
2002,"ALB",0.39008127299999995
2003,"ALB",0.971900415
2004,"ALB",2.420387798
2005,"ALB",6.043890864
2006,"ALB",9.609991316
2007,"ALB",15.03611541
2008,"ALB",23.86
2009,"ALB",41.2
2010,"ALB",45.0
2011,"ALB",49.0
2012,"ALB",54.65595904
2013,"ALB",57.2
