"day","hour","value"
"7",0,15
"3",0,16
"4",0,7
"6",0,18
"1",0,16
"5",0,17
"2",0,10
"7",1,20
"3",1,8
"4",1,13
"6",1,14
"1",1,10
"5",1,12
"2",1,9
"7",2,12
"3",2,7
"4",2,6
"6",2,10
"1",2,5
"5",2,7
"2",2,14
"7",3,10
"3",3,6
"4",3,7
"6",3,13
"1",3,9
"5",3,13
"2",3,11
"7",4,7
"3",4,8
"4",4,4
"6",4,5
"1",4,8
"5",4,14
"2",4,4
"7",5,4
"3",5,6
"4",5,6
"6",5,8
"1",5,4
"5",5,8
"2",5,3
"7",6,6
"3",6,3
"4",6,3
"6",6,2
"1",6,2
"5",6,5
"2",6,6
"3",7,1
"4",7,3
"6",7,4
"1",7,3
"5",7,4
"2",7,6
"7",8,6
"3",8,2
"4",8,2
"6",8,2
"1",8,2
"5",8,5
"2",8,1
"7",9,8
"3",9,2
"4",9,3
"6",9,4
"1",9,6
"5",9,7
"2",9,6
"7",10,3
"3",10,2
"4",10,6
"6",10,5
"1",10,2
"5",10,5
"2",10,3
"7",11,6
"3",11,2
"4",11,3
"6",11,2
"1",11,6
"5",11,2
"2",11,5
"7",12,2
"3",12,6
"4",12,7
"6",12,3
"1",12,7
"5",12,5
"2",12,6
"7",13,4
"3",13,5
"4",13,5
"6",13,9
"1",13,8
"5",13,5
"2",13,3
"7",14,6
"3",14,7
"4",14,2
"6",14,9
"1",14,6
"5",14,5
"2",14,2
"7",15,9
"3",15,3
"4",15,7
"6",15,6
"1",15,3
"5",15,7
"2",15,5
"7",16,13
"3",16,6
"4",16,3
"6",16,10
"1",16,4
"5",16,7
"2",16,7
"7",17,14
"3",17,11
"4",17,12
"6",17,19
"1",17,12
"5",17,11
"2",17,11
"7",18,23
"3",18,19
"4",18,20
"6",18,19
"1",18,16
"5",18,18
"2",18,27
"7",19,21
"3",19,27
"4",19,33
"6",19,31
"1",19,29
"5",19,36
"2",19,31
"7",20,35
"3",20,44
"4",20,42
"6",20,32
"1",20,22
"5",20,46
"2",20,50
"7",21,46
"3",21,42
"4",21,56
"6",21,41
"1",21,44
"5",21,61
"2",21,61
"7",22,40
"3",22,46
"4",22,52
"6",22,65
"1",22,36
"5",22,57
"2",22,45
"7",23,34
"3",23,21
"4",23,33
"6",23,37
"1",23,29
"5",23,30
"2",23,28
