"Year";"Coutry";"WeakDay";"Hour";"x"
"1975";"AUS";"Dom";"00";2
"2006";"AUS";"Dom";"00";1
"2012";"AUS";"Dom";"00";2
"2014";"AUS";"Dom";"00";1
"2003";"BEL";"Dom";"00";1
"1997";"BRA";"Dom";"00";1
"1977";"CAN";"Dom";"00";1
"1980";"CAN";"Dom";"00";1
"1988";"CAN";"Dom";"00";2
"1993";"CAN";"Dom";"00";2
"1996";"CAN";"Dom";"00";1
"1997";"CAN";"Dom";"00";1
"1998";"CAN";"Dom";"00";1
"1999";"CAN";"Dom";"00";3
"2000";"CAN";"Dom";"00";2
"2001";"CAN";"Dom";"00";9
"2002";"CAN";"Dom";"00";3
"2003";"CAN";"Dom";"00";6
"2004";"CAN";"Dom";"00";11
"2005";"CAN";"Dom";"00";1
"2006";"CAN";"Dom";"00";1
"2007";"CAN";"Dom";"00";3
"2008";"CAN";"Dom";"00";1
"2009";"CAN";"Dom";"00";5
"2010";"CAN";"Dom";"00";3
"2011";"CAN";"Dom";"00";3
"2012";"CAN";"Dom";"00";7
"2013";"CAN";"Dom";"00";6
"2014";"CAN";"Dom";"00";1
"2007";"CHE";"Dom";"00";1
"2009";"CHN";"Dom";"00";1
"2007";"DEU";"Dom";"00";2
"2009";"DEU";"Dom";"00";1
"2010";"DEU";"Dom";"00";1
"2009";"ESP";"Dom";"00";1
"1976";"FRA";"Dom";"00";1
"1991";"FRA";"Dom";"00";1
"2013";"FRA";"Dom";"00";1
"1972";"GBR";"Dom";"00";1
"1975";"GBR";"Dom";"00";1
"1978";"GBR";"Dom";"00";1
"1994";"GBR";"Dom";"00";1
"1997";"GBR";"Dom";"00";1
"2001";"GBR";"Dom";"00";1
"2002";"GBR";"Dom";"00";1
"2003";"GBR";"Dom";"00";3
"2004";"GBR";"Dom";"00";4
"2006";"GBR";"Dom";"00";1
"2007";"GBR";"Dom";"00";2
"2008";"GBR";"Dom";"00";5
"2009";"GBR";"Dom";"00";4
"2010";"GBR";"Dom";"00";5
"2011";"GBR";"Dom";"00";1
"2012";"GBR";"Dom";"00";2
"2003";"IDN";"Dom";"00";1
"1980";"IND";"Dom";"00";1
"2012";"IND";"Dom";"00";2
"2011";"IRL";"Dom";"00";1
"2013";"IRN";"Dom";"00";1
"1993";"IRQ";"Dom";"00";1
"2009";"ISL";"Dom";"00";1
"2004";"ISR";"Dom";"00";1
"2006";"LUX";"Dom";"00";1
"2013";"MEX";"Dom";"00";1
"1999";"MYS";"Dom";"00";1
"2002";"NLD";"Dom";"00";1
"2003";"NLD";"Dom";"00";1
"2009";"NLD";"Dom";"00";1
"2011";"NLD";"Dom";"00";1
"2006";"NOR";"Dom";"00";1
"2009";"NOR";"Dom";"00";1
"1998";"NZL";"Dom";"00";1
"2009";"PAK";"Dom";"00";1
"2010";"PHL";"Dom";"00";1
"2013";"PHL";"Dom";"00";1
"1990";"PRI";"Dom";"00";1
"2005";"PRI";"Dom";"00";1
"2006";"PRI";"Dom";"00";1
"2008";"PRI";"Dom";"00";1
"2006";"ROU";"Dom";"00";1
"2013";"ROU";"Dom";"00";1
"1997";"SVN";"Dom";"00";1
"2002";"TUR";"Dom";"00";1
"2003";"TUR";"Dom";"00";1
"2010";"UKR";"Dom";"00";1
"2011";"UKR";"Dom";"00";1
"1962";"USA";"Dom";"00";1
"1966";"USA";"Dom";"00";3
"1968";"USA";"Dom";"00";2
"1970";"USA";"Dom";"00";1
"1971";"USA";"Dom";"00";1
"1972";"USA";"Dom";"00";1
"1973";"USA";"Dom";"00";3
"1974";"USA";"Dom";"00";1
"1975";"USA";"Dom";"00";3
"1976";"USA";"Dom";"00";2
"1977";"USA";"Dom";"00";3
"1978";"USA";"Dom";"00";5
"1979";"USA";"Dom";"00";1
"1980";"USA";"Dom";"00";5
"1981";"USA";"Dom";"00";2
"1982";"USA";"Dom";"00";1
"1983";"USA";"Dom";"00";2
"1986";"USA";"Dom";"00";4
"1989";"USA";"Dom";"00";1
"1990";"USA";"Dom";"00";4
"1991";"USA";"Dom";"00";2
"1992";"USA";"Dom";"00";4
"1993";"USA";"Dom";"00";5
"1994";"USA";"Dom";"00";4
"1995";"USA";"Dom";"00";19
"1996";"USA";"Dom";"00";7
"1997";"USA";"Dom";"00";12
"1998";"USA";"Dom";"00";14
"1999";"USA";"Dom";"00";17
"2000";"USA";"Dom";"00";15
"2001";"USA";"Dom";"00";41
"2002";"USA";"Dom";"00";25
"2003";"USA";"Dom";"00";39
"2004";"USA";"Dom";"00";34
"2005";"USA";"Dom";"00";29
"2006";"USA";"Dom";"00";36
"2007";"USA";"Dom";"00";38
"2008";"USA";"Dom";"00";40
"2009";"USA";"Dom";"00";44
"2010";"USA";"Dom";"00";44
"2011";"USA";"Dom";"00";40
"2012";"USA";"Dom";"00";97
"2013";"USA";"Dom";"00";69
"2014";"USA";"Dom";"00";20
"2005";"VEN";"Dom";"00";1
"1968";"VNM";"Dom";"00";1
"2001";"ZAF";"Dom";"00";1
"2012";"ZAF";"Dom";"00";3
"2004";"ARG";"Qua";"00";1
"1982";"AUS";"Qua";"00";1
"1999";"AUS";"Qua";"00";1
"2002";"AUS";"Qua";"00";1
"2005";"AUS";"Qua";"00";1
"2006";"AUS";"Qua";"00";3
"2011";"BEL";"Qua";"00";1
"2012";"BGD";"Qua";"00";1
"2005";"BGR";"Qua";"00";1
"2009";"BGR";"Qua";"00";1
"2009";"BRA";"Qua";"00";1
"2012";"BRB";"Qua";"00";1
"2001";"BRN";"Qua";"00";1
"1975";"CAN";"Qua";"00";1
"1991";"CAN";"Qua";"00";1
"1997";"CAN";"Qua";"00";1
"1999";"CAN";"Qua";"00";1
"2000";"CAN";"Qua";"00";3
"2001";"CAN";"Qua";"00";2
"2002";"CAN";"Qua";"00";1
"2003";"CAN";"Qua";"00";5
"2004";"CAN";"Qua";"00";3
"2005";"CAN";"Qua";"00";1
"2006";"CAN";"Qua";"00";4
"2007";"CAN";"Qua";"00";2
"2008";"CAN";"Qua";"00";2
"2009";"CAN";"Qua";"00";2
"2010";"CAN";"Qua";"00";2
"2011";"CAN";"Qua";"00";2
"2012";"CAN";"Qua";"00";7
"2013";"CAN";"Qua";"00";2
"2005";"CUB";"Qua";"00";1
"2001";"CZE";"Qua";"00";1
"2003";"ESP";"Qua";"00";1
"2005";"ESP";"Qua";"00";1
"1966";"GBR";"Qua";"00";1
"1977";"GBR";"Qua";"00";1
"1993";"GBR";"Qua";"00";3
"1997";"GBR";"Qua";"00";1
"1998";"GBR";"Qua";"00";1
"2000";"GBR";"Qua";"00";1
"2001";"GBR";"Qua";"00";2
"2002";"GBR";"Qua";"00";1
"2003";"GBR";"Qua";"00";2
"2004";"GBR";"Qua";"00";5
"2005";"GBR";"Qua";"00";2
"2006";"GBR";"Qua";"00";1
"2007";"GBR";"Qua";"00";2
"2008";"GBR";"Qua";"00";1
"2009";"GBR";"Qua";"00";2
"2010";"GBR";"Qua";"00";4
"2011";"GBR";"Qua";"00";2
