"day","year","country","hour","value"
"7",1975,"AUS",0,2
"7",2006,"AUS",0,1
"7",2012,"AUS",0,2
"7",2014,"AUS",0,1
"7",2003,"BEL",0,1
"7",1997,"BRA",0,1
"7",1977,"CAN",0,1
"7",1980,"CAN",0,1
"7",1988,"CAN",0,2
"7",1993,"CAN",0,2
"7",1996,"CAN",0,1
"7",1997,"CAN",0,1
"7",1998,"CAN",0,1
"7",1999,"CAN",0,3
"7",2000,"CAN",0,2
"7",2001,"CAN",0,9
"7",2002,"CAN",0,3
"7",2003,"CAN",0,6
"7",2004,"CAN",0,11
"7",2005,"CAN",0,1
"7",2006,"CAN",0,1
"7",2007,"CAN",0,3
"7",2008,"CAN",0,1
"7",2009,"CAN",0,5
"7",2010,"CAN",0,3
"7",2011,"CAN",0,3
"7",2012,"CAN",0,7
"7",2013,"CAN",0,6
"7",2014,"CAN",0,1
"7",2007,"CHE",0,1
"7",2009,"CHN",0,1
"7",2007,"DEU",0,2
"7",2009,"DEU",0,1
"7",2010,"DEU",0,1
"7",2009,"ESP",0,1
"7",1976,"FRA",0,1
"7",1991,"FRA",0,1
"7",2013,"FRA",0,1
"7",1972,"GBR",0,1
"7",1975,"GBR",0,1
"7",1978,"GBR",0,1
"7",1994,"GBR",0,1
"7",1997,"GBR",0,1
"7",2001,"GBR",0,1
"7",2002,"GBR",0,1
"7",2003,"GBR",0,3
"7",2004,"GBR",0,4
"7",2006,"GBR",0,1
"7",2007,"GBR",0,2
"7",2008,"GBR",0,5
"7",2009,"GBR",0,4
"7",2010,"GBR",0,5
"7",2011,"GBR",0,1
"7",2012,"GBR",0,2
"7",2003,"IDN",0,1
"7",1980,"IND",0,1
"7",2012,"IND",0,2
"7",2011,"IRL",0,1
"7",2013,"IRN",0,1
"7",1993,"IRQ",0,1
"7",2009,"ISL",0,1
"7",2004,"ISR",0,1
"7",2006,"LUX",0,1
"7",2013,"MEX",0,1
"7",1999,"MYS",0,1
"7",2002,"NLD",0,1
"7",2003,"NLD",0,1
"7",2009,"NLD",0,1
"7",2011,"NLD",0,1
"7",2006,"NOR",0,1
"7",2009,"NOR",0,1
"7",1998,"NZL",0,1
"7",2009,"PAK",0,1
"7",2010,"PHL",0,1
"7",2013,"PHL",0,1
"7",1990,"PRI",0,1
"7",2005,"PRI",0,1
"7",2006,"PRI",0,1
"7",2008,"PRI",0,1
"7",2006,"ROU",0,1
"7",2013,"ROU",0,1
"7",1997,"SVN",0,1
"7",2002,"TUR",0,1
"7",2003,"TUR",0,1
"7",2010,"UKR",0,1
"7",2011,"UKR",0,1
"7",1962,"USA",0,1
"7",1966,"USA",0,3
"7",1968,"USA",0,2
"7",1970,"USA",0,1
"7",1971,"USA",0,1
"7",1972,"USA",0,1
"7",1973,"USA",0,3
"7",1974,"USA",0,1
"7",1975,"USA",0,3
"7",1976,"USA",0,2
"7",1977,"USA",0,3
"7",1978,"USA",0,5
"7",1979,"USA",0,1
"7",1980,"USA",0,5
"7",1981,"USA",0,2
"7",1982,"USA",0,1
"7",1983,"USA",0,2
"7",1986,"USA",0,4
"7",1989,"USA",0,1
"7",1990,"USA",0,4
"7",1991,"USA",0,2
"7",1992,"USA",0,4
"7",1993,"USA",0,5
"7",1994,"USA",0,4
"7",1995,"USA",0,19
"7",1996,"USA",0,7
"7",1997,"USA",0,12
"7",1998,"USA",0,14
"7",1999,"USA",0,17
"7",2000,"USA",0,15
"7",2001,"USA",0,41
"7",2002,"USA",0,25
"7",2003,"USA",0,39
"7",2004,"USA",0,34
"7",2005,"USA",0,29
"7",2006,"USA",0,36
"7",2007,"USA",0,38
"7",2008,"USA",0,40
"7",2009,"USA",0,44
"7",2010,"USA",0,44
"7",2011,"USA",0,40
"7",2012,"USA",0,97
"7",2013,"USA",0,69
"7",2014,"USA",0,20
"7",2005,"VEN",0,1
"7",1968,"VNM",0,1
"7",2001,"ZAF",0,1
"7",2012,"ZAF",0,3
"3",2004,"ARG",0,1
"3",1982,"AUS",0,1
"3",1999,"AUS",0,1
"3",2002,"AUS",0,1
"3",2005,"AUS",0,1
"3",2006,"AUS",0,3
"3",2011,"BEL",0,1
"3",2012,"BGD",0,1
"3",2005,"BGR",0,1
"3",2009,"BGR",0,1
"3",2009,"BRA",0,1
"3",2012,"BRB",0,1
"3",2001,"BRN",0,1
"3",1975,"CAN",0,1
"3",1991,"CAN",0,1
"3",1997,"CAN",0,1
"3",1999,"CAN",0,1
"3",2000,"CAN",0,3
"3",2001,"CAN",0,2
"3",2002,"CAN",0,1
"3",2003,"CAN",0,5
"3",2004,"CAN",0,3
"3",2005,"CAN",0,1
"3",2006,"CAN",0,4
"3",2007,"CAN",0,2
"3",2008,"CAN",0,2
"3",2009,"CAN",0,2
"3",2010,"CAN",0,2
"3",2011,"CAN",0,2
"3",2012,"CAN",0,7
"3",2013,"CAN",0,2
"3",2005,"CUB",0,1
"3",2001,"CZE",0,1
"3",2003,"ESP",0,1
"3",2005,"ESP",0,1
"3",1966,"GBR",0,1
"3",1977,"GBR",0,1
"3",1993,"GBR",0,3
"3",1997,"GBR",0,1
"3",1998,"GBR",0,1
"3",2000,"GBR",0,1
"3",2001,"GBR",0,2
"3",2002,"GBR",0,1
"3",2003,"GBR",0,2
"3",2004,"GBR",0,5
"3",2005,"GBR",0,2
"3",2006,"GBR",0,1
"3",2007,"GBR",0,2
"3",2008,"GBR",0,1
"3",2009,"GBR",0,2
"3",2010,"GBR",0,4
"3",2011,"GBR",0,2
"3",2012,"GBR",0,1
"3",2013,"GBR",0,1
"3",2005,"GRC",0,1
"3",2008,"HRV",0,2
"3",2006,"HUN",0,1
"3",2001,"IND",0,1
"3",2003,"IND",0,1
"3",2006,"IND",0,1
"3",2008,"IND",0,1
"3",2013,"IND",0,1
"3",2006,"IRL",0,1
"3",2011,"IRL",0,1
"3",2013,"IRL",0,1
"3",1984,"ISR",0,1
"3",1994,"ISR",0,1
"3",2003,"ITA",0,1
"3",1968,"MAR",0,1
"3",1996,"MEX",0,1
"3",2006,"MEX",0,1
"3",2008,"MYS",0,1
"3",1995,"NLD",0,1
"3",2007,"NLD",0,1
"3",2009,"NZL",0,1
"3",2012,"PLW",0,1
"3",1976,"PRI",0,1
"3",2008,"PRY",0,1
"3",2002,"ROU",0,1
"3",1989,"RUS",0,1
"3",1999,"THA",0,1
"3",2001,"THA",0,1
"3",1966,"USA",0,3
"3",1970,"USA",0,2
"3",1973,"USA",0,5
"3",1974,"USA",0,2
"3",1975,"USA",0,2
"3",1976,"USA",0,3
"3",1977,"USA",0,4
"3",1978,"USA",0,2
"3",1979,"USA",0,2
"3",1980,"USA",0,2
"3",1982,"USA",0,2
"3",1983,"USA",0,5
"3",1984,"USA",0,1
"3",1985,"USA",0,1
"3",1986,"USA",0,1
"3",1987,"USA",0,1
"3",1988,"USA",0,3
"3",1990,"USA",0,1
"3",1991,"USA",0,1
"3",1992,"USA",0,3
"3",1993,"USA",0,4
"3",1994,"USA",0,1
"3",1995,"USA",0,12
"3",1996,"USA",0,6
"3",1997,"USA",0,11
"3",1998,"USA",0,8
"3",1999,"USA",0,19
"3",2000,"USA",0,16
"3",2001,"USA",0,22
"3",2002,"USA",0,19
"3",2003,"USA",0,29
"3",2004,"USA",0,29
"3",2005,"USA",0,26
"3",2006,"USA",0,35
"3",2007,"USA",0,25
"3",2008,"USA",0,44
"3",2009,"USA",0,31
"3",2010,"USA",0,26
"3",2011,"USA",0,29
"3",2012,"USA",0,41
"3",2013,"USA",0,33
"3",2014,"USA",0,77
"3",1983,"ZAF",0,1
"3",2014,"ZAF",0,1
"4",2010,"AFG",0,1
"4",2012,"ARE",0,1
"4",2002,"ARG",0,1
"4",1999,"AUS",0,2
"4",2004,"AUS",0,1
"4",2008,"AUS",0,1
"4",2009,"AUS",0,1
"4",2005,"BHS",0,1
"4",2002,"BIH",0,1
"4",2013,"BIH",0,1
"4",2004,"BRA",0,1
"4",1972,"CAN",0,1
"4",1983,"CAN",0,2
"4",1995,"CAN",0,2
"4",1999,"CAN",0,1
"4",2000,"CAN",0,2
"4",2001,"CAN",0,1
"4",2002,"CAN",0,3
"4",2003,"CAN",0,2
"4",2004,"CAN",0,3
"4",2005,"CAN",0,3
"4",2006,"CAN",0,1
"4",2007,"CAN",0,3
"4",2008,"CAN",0,4
"4",2009,"CAN",0,3
"4",2010,"CAN",0,1
"4",2011,"CAN",0,1
"4",2012,"CAN",0,2
"4",2013,"CAN",0,5
"4",2007,"CHN",0,1
"4",2012,"CPV",0,1
"4",1973,"CUB",0,1
"4",2009,"DEU",0,2
"4",1968,"DOM",0,1
"4",1995,"EST",0,1
"4",1987,"GBR",0,1
"4",1993,"GBR",0,1
"4",1994,"GBR",0,1
"4",1998,"GBR",0,1
"4",1999,"GBR",0,1
"4",2000,"GBR",0,2
"4",2001,"GBR",0,3
"4",2004,"GBR",0,2
"4",2005,"GBR",0,4
"4",2007,"GBR",0,2
"4",2008,"GBR",0,3
"4",2009,"GBR",0,7
"4",2011,"GBR",0,1
"4",2013,"GBR",0,1
"4",2002,"GRC",0,2
"4",1988,"IND",0,1
"4",2004,"IND",0,1
"4",2012,"IND",0,1
"4",2004,"IRL",0,1
"4",2009,"IRL",0,1
"4",2005,"IRQ",0,1
"4",1995,"JPN",0,1
"4",1995,"KAZ",0,1
"4",2013,"KEN",0,1
"4",1978,"KOR",0,1
"4",2012,"LKA",0,1
"4",2000,"LTU",0,1
"4",2008,"LTU",0,1
"4",1976,"MAR",0,1
"4",2000,"MAR",0,1
"4",1980,"MEX",0,1
"4",2003,"MEX",0,1
"4",2009,"MEX",0,1
"4",2001,"MYS",0,1
"4",1995,"NLD",0,1
"4",2004,"NOR",0,1
"4",2006,"NZL",0,1
"4",2004,"PRT",0,1
"4",2003,"SRB",0,1
"4",2004,"SWE",0,1
"4",2005,"THA",0,1
"4",2000,"TUR",0,1
"4",1966,"USA",0,1
"4",1970,"USA",0,1
"4",1971,"USA",0,1
"4",1972,"USA",0,3
"4",1973,"USA",0,3
"4",1974,"USA",0,2
"4",1975,"USA",0,3
"4",1976,"USA",0,4
"4",1977,"USA",0,5
"4",1978,"USA",0,6
"4",1980,"USA",0,3
"4",1981,"USA",0,1
"4",1983,"USA",0,1
"4",1985,"USA",0,1
"4",1987,"USA",0,4
"4",1989,"USA",0,6
"4",1992,"USA",0,1
"4",1993,"USA",0,2
"4",1994,"USA",0,4
"4",1995,"USA",0,18
"4",1996,"USA",0,8
"4",1997,"USA",0,9
"4",1998,"USA",0,10
"4",1999,"USA",0,12
"4",2000,"USA",0,7
"4",2001,"USA",0,17
"4",2002,"USA",0,14
