"year","country","shape","value"
2002,"ARE","changing",1
2009,"ARE","changing",1
2013,"ARG","changing",1
1983,"AUS","changing",1
2000,"AUS","changing",1
2001,"AUS","changing",1
2002,"AUS","changing",2
2003,"AUS","changing",2
2009,"AUS","changing",1
2010,"AUS","changing",1
2011,"AUS","changing",1
2014,"AUS","changing",1
2014,"BGR","changing",1
1995,"BRA","changing",1
1977,"CAN","changing",2
1992,"CAN","changing",1
1995,"CAN","changing",2
1999,"CAN","changing",1
2000,"CAN","changing",2
2001,"CAN","changing",8
2002,"CAN","changing",5
2003,"CAN","changing",7
2004,"CAN","changing",7
2005,"CAN","changing",8
2006,"CAN","changing",4
2007,"CAN","changing",5
2008,"CAN","changing",2
2009,"CAN","changing",3
2010,"CAN","changing",8
2011,"CAN","changing",3
2012,"CAN","changing",9
2013,"CAN","changing",7
2014,"CAN","changing",3
2012,"CHE","changing",1
1984,"CHL","changing",1
1988,"CHN","changing",1
2003,"CHN","changing",1
2014,"CRI","changing",1
2006,"DEU","changing",1
2008,"DEU","changing",1
2000,"EGY","changing",1
2012,"ESP","changing",3
2009,"EST","changing",1
2003,"FIN","changing",1
1997,"GBR","changing",1
1998,"GBR","changing",1
1999,"GBR","changing",1
2000,"GBR","changing",2
2001,"GBR","changing",5
2002,"GBR","changing",4
2003,"GBR","changing",1
2004,"GBR","changing",6
2005,"GBR","changing",6
2006,"GBR","changing",6
2007,"GBR","changing",2
2008,"GBR","changing",5
2009,"GBR","changing",6
2010,"GBR","changing",4
2012,"GBR","changing",1
2013,"GBR","changing",3
2014,"GBR","changing",1
2000,"GRD","changing",1
1992,"GTM","changing",1
2007,"HRV","changing",1
2000,"HUN","changing",1
2006,"HUN","changing",1
2006,"IND","changing",1
2010,"IND","changing",1
2012,"IND","changing",2
1989,"IRL","changing",1
2004,"IRL","changing",1
2009,"IRL","changing",2
2013,"IRL","changing",1
2002,"ITA","changing",1
2013,"ITA","changing",1
2003,"JPN","changing",1
2010,"JPN","changing",1
1978,"KOR","changing",1
2002,"LKA","changing",1
1998,"MAR","changing",1
2008,"MDV","changing",1
1999,"MEX","changing",1
2003,"MEX","changing",1
2006,"MEX","changing",1
2007,"MEX","changing",1
2012,"MEX","changing",1
2011,"MYS","changing",1
2013,"MYS","changing",1
2014,"MYS","changing",1
2002,"NLD","changing",2
1997,"NZL","changing",1
2000,"NZL","changing",1
2006,"NZL","changing",1
2009,"NZL","changing",1
2003,"PAK","changing",1
2004,"PAK","changing",1
1998,"PHL","changing",1
2013,"PHL","changing",1
1987,"PRI","changing",1
2013,"PRI","changing",1
1998,"ROU","changing",1
2003,"SRB","changing",1
1999,"SWE","changing",1
1978,"SYC","changing",1
2003,"THA","changing",1
2006,"THA","changing",2
2007,"THA","changing",1
2012,"TTO","changing",1
1974,"TUR","changing",1
2003,"TUR","changing",1
1962,"USA","changing",2
1968,"USA","changing",2
1970,"USA","changing",1
1971,"USA","changing",1
1973,"USA","changing",2
1974,"USA","changing",2
1975,"USA","changing",3
1976,"USA","changing",6
1977,"USA","changing",2
1978,"USA","changing",3
1979,"USA","changing",3
1980,"USA","changing",4
1981,"USA","changing",2
1982,"USA","changing",3
1983,"USA","changing",2
1984,"USA","changing",2
1985,"USA","changing",5
1986,"USA","changing",2
1987,"USA","changing",5
1988,"USA","changing",4
1989,"USA","changing",5
1990,"USA","changing",4
1991,"USA","changing",3
1992,"USA","changing",1
1993,"USA","changing",2
1994,"USA","changing",9
1995,"USA","changing",9
1996,"USA","changing",14
1997,"USA","changing",12
1998,"USA","changing",39
1999,"USA","changing",64
2000,"USA","changing",62
2001,"USA","changing",74
2002,"USA","changing",85
2003,"USA","changing",92
2004,"USA","changing",106
2005,"USA","changing",113
2006,"USA","changing",102
2007,"USA","changing",93
2008,"USA","changing",137
2009,"USA","changing",96
2010,"USA","changing",109
2011,"USA","changing",94
2012,"USA","changing",157
2013,"USA","changing",132
2014,"USA","changing",44
1998,"VEN","changing",1
2000,"VEN","changing",1
2009,"ZAF","changing",1
2012,"ZWE","changing",1
2003,"ARG","chevron",1
2002,"AUS","chevron",1
2005,"AUS","chevron",1
