"unique_id","datetime","country","shape","duration (seconds)","latitude","longitude","GDP (in USD)","Internet Users (percent of total)","Unemployment (percent of total)","Syfy Films (total year)","Year"
1,"1966-10-10 20:00:00","USA","disk","180","33.5861111","-86.2861111","815000000000.0","nan","nan","1","1966"
2,"1966-10-10 21:00:00","USA","disk","120","30.2947222","-82.9841667","815000000000.0","nan","nan","1","1966"
3,"1968-10-10 13:00:00","USA","circle","300","33.9163889","-118.3516667","942500000000.0","nan","nan","3","1968"
4,"1968-10-10 19:00:00","USA","fireball","180","35.2333333","-82.7344444","942500000000.0","nan","nan","3","1968"
5,"1970-10-10 16:00:00","USA","disk","1800","40.6686111","-73.5275000","1075884000000.0","nan","nan","1","1970"
6,"1970-10-10 19:00:00","USA","unknown","180","37.1536111","-83.7619444","1075884000000.0","nan","nan","1","1970"
7,"1971-10-10 21:00:00","USA","oval","30","35.8238889","-80.2536111","1167770000000.0","nan","nan","2","1971"
8,"1972-10-10 19:00:00","USA","circle","1200","36.8430556","-83.3219444","1282449000000.0","nan","nan","3","1972"
9,"1972-10-10 22:30:00","USA","disk","120","42.5377778","-83.2330556","1282449000000.0","nan","nan","3","1972"
10,"1973-10-10 19:00:00","USA","disk","1800","41.3252778","-72.1936111","1428549000000.0","nan","nan","2","1973"
11,"1974-10-10 19:30:00","USA","other","2700","42.3916667","-71.5666667","1548825000000.0","nan","nan","1","1974"
12,"1974-10-10 21:30:00","GBR","disk","1200","51.5","-3.2","206131369798.971","nan","nan","1","1974"
13,"1974-10-10 23:00:00","USA","light","1200","38.1055556","-98.6597222","1548825000000.0","nan","nan","1","1974"
14,"1975-10-10 17:00:00","USA","light","360","32.8544444","-79.9750000","1688923000000.0","nan","nan","1","1975"
15,"1976-10-10 20:30:00","USA","oval","60","45.5827778","-122.3522222","1877587000000.0","nan","nan","1","1976"
16,"1976-10-10 22:00:00","GBR","cigar","3","51.783333","-.783333","232614555256.065","nan","nan","1","1976"
17,"1977-10-10 12:00:00","USA","other","30","29.4238889","-98.4933333","2085951000000.0","nan","nan","6","1977"
18,"1977-10-10 22:00:00","USA","light","30","38.2541667","-85.7594444","2085951000000.0","nan","nan","6","1977"
19,"1978-10-10 02:00:00","USA","rectangle","300","40.7008333","-73.7133333","2356571000000.0","nan","nan","3","1978"
20,"1979-10-10 00:00:00","USA","chevron","900","41.7002778","-73.9213889","2632143000000.0","nan","nan","7","1979"
21,"1979-10-10 22:00:00","CAN","triangle","270","53.970571","-111.689885","243072102185.41898","nan","nan","7","1979"
22,"1979-10-10 22:00:00","USA","oval","180","32.7152778","-117.1563889","2632143000000.0","nan","nan","7","1979"
23,"1979-10-10 22:00:00","USA","unknown","1800","38.7583333","-104.7425000","2632143000000.0","nan","nan","7","1979"
24,"1980-10-10 19:00:00","USA","sphere","180","29.7630556","-95.3630556","2862505000000.0","nan","nan","5","1980"
25,"1980-10-10 22:00:00","USA","unknown","300","32.7833333","-96.8000000","2862505000000.0","nan","nan","5","1980"
26,"1980-10-10 23:30:00","USA","light","300","42.9955556","-71.4552778","2862505000000.0","nan","nan","5","1980"
27,"1982-10-10 07:00:00","NZL","disk","120","-38.662334","178.017649","24164603058.9949","nan","nan","8","1982"
28,"1984-10-10 05:00:00","USA","circle","60","29.7630556","-95.3630556","4040693000000.0","nan","nan","8","1984"
29,"1984-10-10 12:00:00","USA","other","120","44.7630556","-85.6205556","4040693000000.0","nan","nan","8","1984"
30,"1984-10-10 22:00:00","USA","formation","20","41.0338889","-73.7633333","4040693000000.0","nan","nan","8","1984"
31,"1985-10-10 20:25:00","GBR","triangle","600","53.8","-1.583333","489285164271.04706","nan","nan","6","1985"
32,"1987-10-10 20:00:00","CAN","disk","600","0","0","431316742081.448","nan","nan","4","1987"
33,"1988-10-10 18:00:00","USA","triangle","600","43.0388889","-87.9063889","5252629000000.0","nan","nan","4","1988"
34,"1988-10-10 21:00:00","USA","unknown","120","43.9627778","-70.2830556","5252629000000.0","nan","nan","4","1988"
