"year","country","value"
1991,"AFG",1.20700001716614
1992,"AFG",1.06200003623962
1993,"AFG",1.38800001144409
1994,"AFG",1.35099995136261
1995,"AFG",0.601999998092651
1996,"AFG",1.1380000114440902
1997,"AFG",1.13699996471405
1998,"AFG",1.1319999694824199
1999,"AFG",1.1380000114440902
2000,"AFG",1.12999999523163
2001,"AFG",1.14499998092651
2002,"AFG",0.492000013589859
2003,"AFG",8.44099998474121
2004,"AFG",8.47900009155273
2005,"AFG",8.5
2006,"AFG",8.41800022125244
2007,"AFG",8.34200000762939
2008,"AFG",8.27799987792969
2009,"AFG",8.23799991607666
2010,"AFG",8.22799968719482
2011,"AFG",8.199999809265138
2012,"AFG",8.18000030517578
2013,"AFG",8.35700035095215
2014,"AFG",8.449000358581541
2015,"AFG",8.51599979400635
2016,"AFG",8.53999996185303
1991,"AGO",6.730999946594241
1992,"AGO",6.65799999237061
1993,"AGO",6.46700000762939
1994,"AGO",6.76800012588501
1995,"AGO",6.93900012969971
1996,"AGO",6.925000190734861
1997,"AGO",6.8520002365112305
1998,"AGO",6.82399988174438
1999,"AGO",6.7979998588562
2000,"AGO",6.81099987030029
2001,"AGO",6.824999809265139
2002,"AGO",6.9380002021789595
2003,"AGO",6.83300018310547
2004,"AGO",6.8979997634887695
2005,"AGO",6.985000133514401
2006,"AGO",7.0110001564025906
2007,"AGO",7.02899980545044
2008,"AGO",6.91400003433228
2009,"AGO",6.7729997634887695
2010,"AGO",6.787000179290769
2011,"AGO",6.79199981689453
2012,"AGO",6.80700016021729
2013,"AGO",6.82800006866455
2014,"AGO",6.80399990081787
2015,"AGO",6.6710000038147
2016,"AGO",6.5789999961853
1991,"ALB",13.210000038147
1992,"ALB",14.236000061035199
1993,"ALB",15.5649995803833
1994,"ALB",15.3509998321533
1995,"ALB",14.711000442504899
1996,"ALB",14.404999732971199
1997,"ALB",13.4549999237061
1998,"ALB",14.229999542236301
1999,"ALB",14.53600025177
2000,"ALB",14.1479997634888
2001,"ALB",22.6800003051758
2002,"ALB",14.8459997177124
2003,"ALB",13.9499998092651
2004,"ALB",13.913999557495101
2005,"ALB",13.8319997787476
2006,"ALB",13.055999755859402
2007,"ALB",13.5
2008,"ALB",13.0
2009,"ALB",13.7600002288818
2010,"ALB",14.1999998092651
2011,"ALB",13.9770002365112
2012,"ALB",13.437999725341802
2013,"ALB",15.640000343322802
2014,"ALB",17.4899997711182
2015,"ALB",17.0799999237061
2016,"ALB",16.3330001831055
1991,"ARB",12.681330011342402
1992,"ARB",12.9872300011934
1993,"ARB",13.594802278434598
1994,"ARB",13.7919636483266
1995,"ARB",14.6345099713291
1996,"ARB",14.159909958183999
1997,"ARB",13.706133881294901
1998,"ARB",13.4651121896154
1999,"ARB",12.3126820247891
2000,"ARB",13.0323547547756
2001,"ARB",12.904409410652402
2002,"ARB",13.121781696895301
2003,"ARB",13.490463263035199
2004,"ARB",12.539611032020499
2005,"ARB",11.871019246833802
2006,"ARB",11.094261191552802
2007,"ARB",10.674748763762802
2008,"ARB",10.3943477453585
2009,"ARB",10.0391500043854
2010,"ARB",10.0418824052666
2011,"ARB",11.197676835009698
2012,"ARB",11.4195621203284
2013,"ARB",11.382031912873302
2014,"ARB",11.4916821820223
2015,"ARB",11.5029359602014
2016,"ARB",11.3248372407324
1991,"ARE",3.20700001716614
1992,"ARE",3.25799989700317
1993,"ARE",3.26799988746643
1994,"ARE",2.07999992370605
1995,"ARE",1.79999995231628
1996,"ARE",2.70499992370605
1997,"ARE",2.6110000610351602
1998,"ARE",3.28600001335144
1999,"ARE",3.2809998989105202
2000,"ARE",2.2999999523162797
